victory_status,opening_code,opening_name,rating_gap_class
Resign,A40,Horwitz Defense,0-50
Resign,E10,Blumenfeld Countergambit,>250
Mate,C00,French Defense,0-50
Resign,A04,Zukertort Opening,151-200
Resign,A45,Indian Game,0-50
Resign,C00,French Defense,51-100
Resign,D00,Queen's Pawn Game,51-100
Resign,D00,Queen's Pawn Game,201-250
Mate,A41,Queen's Pawn,101-150
Mate,A45,Indian Game,0-50
Mate,C02,French Defense,>250
Resign,D00,Queen's Pawn Game,0-50
Resign,C01,French Defense,>250
Resign,A40,Horwitz Defense,0-50
Resign,D02,Queen's Pawn Game,151-200
Resign,C00,French Defense,101-150
Resign,D02,Queen's Pawn Game,>250
Mate,C00,French Defense,201-250
Resign,D00,Queen's Pawn Game,101-150
Mate,D02,Queen's Pawn Game,101-150
Resign,A10,English Opening,0-50
Mate,A00,Crab Opening,>250
Resign,D00,Queen's Pawn Game,101-150
Resign,A40,Queen's Pawn,0-50
Resign,C18,French Defense,51-100
Resign,D02,Queen's Pawn Game,0-50
Resign,D00,Queen's Pawn Game,0-50
Mate,C00,French Defense,101-150
Resign,D02,Queen's Pawn Game,101-150
Resign,C00,French Defense,51-100
Resign,D00,Queen's Pawn Game,101-150
Resign,D02,Queen's Pawn Game,>250
Mate,A47,Queen's Indian Defense,>250
Mate,A40,Horwitz Defense,>250
Resign,D02,Queen's Pawn Game,51-100
Resign,C50,Italian Game,0-50
Draw,D06,Queen's Gambit,0-50
Resign,D06,Queen's Gambit,0-50
Resign,C10,French Defense,201-250
Out of Time,C45,Scotch Game,101-150
Mate,C02,French Defense,201-250
Out of Time,C41,Philidor Defense,>250
Resign,D80,Gruenfeld Defense,51-100
Mate,C00,French Defense,101-150
Resign,C10,French Defense,0-50
Resign,D30,Queen's Gambit,0-50
Out of Time,D20,Queen's Gambit,>250
Resign,C02,French Defense,0-50
Resign,D41,Queen's Gambit,101-150
Resign,D20,Queen's Gambit,>250
Resign,A46,Yusupov-Rubinstein System,0-50
Mate,D31,Queen's Gambit,51-100
Mate,C64,Ruy Lopez,0-50
Resign,D02,Queen's Pawn Game,101-150
Resign,D02,Queen's Pawn Game,51-100
Resign,C64,Ruy Lopez,101-150
Mate,C24,Bishop's Opening,0-50
Out of Time,A43,Benoni Defense,201-250
Resign,A08,King's Indian Attack,>250
Mate,D02,Queen's Pawn Game,>250
Out of Time,B00,Nimzowitsch Defense,0-50
Mate,C50,Italian Game,>250
Mate,B03,Alekhine Defense,101-150
Mate,B29,Sicilian Defense,51-100
Draw,C50,Four Knights Game,51-100
Mate,C57,Italian Game,101-150
Mate,C55,Italian Game,101-150
Resign,C57,Italian Game,0-50
Resign,B02,Alekhine Defense,151-200
Resign,D06,Queen's Gambit,101-150
Resign,C55,Italian Game,0-50
Resign,B02,Alekhine Defense,0-50
Resign,B13,Caro-Kann Defense,101-150
Resign,D00,Queen's Pawn Game,51-100
Mate,B57,Sicilian Defense,51-100
Mate,A20,English Opening,0-50
Mate,B00,Goldsmith Defense,0-50
Mate,E20,Nimzo-Indian Defense,101-150
Mate,C57,Italian Game,0-50
Resign,B02,Alekhine Defense,201-250
Mate,D06,Queen's Gambit,0-50
Draw,C50,Italian Game,0-50
Resign,C50,Four Knights Game,0-50
Mate,E11,Bogo-Indian Defense,>250
Resign,B02,Alekhine Defense,51-100
Mate,B02,Alekhine Defense,0-50
Mate,C40,King's Knight Opening,>250
Resign,D30,Queen's Gambit,>250
Mate,C11,French Defense,0-50
Resign,B02,Alekhine Defense,201-250
Resign,C28,Vienna Game,0-50
Mate,B06,Modern Defense,0-50
Resign,B01,Scandinavian Defense,101-150
Resign,A46,Yusupov-Rubinstein System,0-50
Out of Time,B30,Sicilian Defense,0-50
Resign,A56,Benoni Defense,0-50
Resign,B27,Sicilian Defense,51-100
Resign,C55,Italian Game,0-50
Out of Time,C65,Ruy Lopez,51-100
Mate,B90,Sicilian Defense,0-50
Resign,C00,French Defense,0-50
Resign,B50,Sicilian Defense,0-50
Resign,B51,Sicilian Defense,0-50
Out of Time,E00,Amar Opening,0-50
Resign,C70,Ruy Lopez,0-50
Resign,B50,Sicilian Defense,0-50
Resign,A40,Queen's Pawn,0-50
Resign,B11,Caro-Kann Defense,0-50
Out of Time,B22,Sicilian Defense,0-50
Resign,B40,Sicilian Defense,0-50
Resign,C00,French Defense,0-50
Out of Time,A45,Paleface Attack,0-50
Out of Time,B50,Sicilian Defense,0-50
Resign,B31,Sicilian Defense,51-100
Out of Time,B50,Sicilian Defense,0-50
Resign,B18,Caro-Kann Defense,0-50
Resign,C61,Ruy Lopez,0-50
Mate,B90,Sicilian Defense,0-50
Mate,E10,Blumenfeld Countergambit,0-50
Draw,C55,Italian Game,0-50
Mate,C78,Ruy Lopez,0-50
Resign,C70,Ruy Lopez,0-50
Resign,B30,Sicilian Defense,0-50
Resign,B10,Caro-Kann Defense,0-50
Resign,D06,Queen's Gambit,51-100
Resign,B01,Scandinavian Defense,51-100
Resign,B30,Sicilian Defense,0-50
Resign,C41,Philidor Defense,0-50
Mate,B22,Sicilian Defense,0-50
Resign,B20,Sicilian Defense,0-50
Mate,B30,Sicilian Defense,0-50
Resign,A00,Hungarian Opening,0-50
Out of Time,D00,Queen's Pawn Game,0-50
Mate,A00,Van't Kruijs Opening,0-50
Mate,C00,French Defense,0-50
Mate,C22,Center Game,0-50
Resign,C54,Italian Game,0-50
Mate,C50,Four Knights Game,>250
Mate,C41,Philidor Defense,151-200
Mate,C68,Ruy Lopez,201-250
Mate,B12,Caro-Kann Defense,51-100
Resign,C77,Ruy Lopez,>250
Out of Time,C22,Center Game,101-150
Mate,C45,Scotch Game,>250
Resign,C41,Philidor Defense,0-50
Resign,A40,Englund Gambit,101-150
Resign,C50,Giuoco Piano,151-200
Resign,A42,Sicilian Defense,>250
Resign,C44,Scotch Game,>250
Out of Time,C41,Philidor Defense,201-250
Mate,C70,Ruy Lopez,101-150
Mate,C55,Italian Game,201-250
Resign,B01,Scandinavian Defense,51-100
Mate,A00,Crab Opening,51-100
Mate,C41,Philidor Defense,>250
Resign,C42,Petrov's Defense,151-200
Mate,D07,Queen's Gambit,>250
Mate,B27,Sicilian Defense,>250
Draw,C55,Italian Game,>250
Mate,D02,Queen's Pawn Game,>250
Mate,C02,French Defense,151-200
Out of Time,B32,Sicilian Defense,>250
Mate,C68,Ruy Lopez,0-50
Mate,C42,Russian Game,0-50
Mate,A22,English Opening,0-50
Draw,C50,Italian Game,0-50
Out of Time,C46,Four Knights Game,101-150
Resign,B07,Pirc Defense,51-100
Resign,A06,Zukertort Opening,101-150
Resign,A04,Zukertort Opening,>250
Resign,B01,Scandinavian Defense,101-150
Resign,C20,King's Pawn Game,0-50
Mate,C41,Philidor Defense,0-50
Mate,B07,King's Pawn Game,101-150
Resign,B30,Sicilian Defense,0-50
Mate,C42,Russian Game,0-50
Resign,C77,Ruy Lopez,51-100
Draw,B00,St. George Defense,0-50
Resign,A00,Van't Kruijs Opening,0-50
Resign,A22,English Opening,151-200
Mate,C60,Ruy Lopez,51-100
Resign,B01,Scandinavian Defense,51-100
Mate,C41,Philidor Defense,0-50
Resign,C40,King's Pawn Game,0-50
Resign,C41,Philidor Defense,0-50
Resign,C44,Scotch Game,>250
Mate,C50,Italian Game,0-50
Out of Time,C61,Ruy Lopez,101-150
Resign,B00,Nimzowitsch Defense,0-50
Resign,C21,King's Pawn Game,0-50
Mate,C64,Ruy Lopez,>250
Mate,C50,Italian Game,101-150
Resign,D20,Queen's Gambit,101-150
Resign,C55,Italian Game,201-250
Resign,A07,King's Indian Attack,0-50
Out of Time,A10,English Opening,0-50
Mate,B40,Sicilian Defense,0-50
Resign,C02,French Defense,101-150
Resign,C00,French Defense,101-150
Resign,C70,Ruy Lopez,0-50
Mate,E20,Nimzo-Indian Defense,0-50
Mate,A02,Bird Opening,0-50
Resign,B32,Sicilian Defense,51-100
Out of Time,C58,Italian Game,51-100
Mate,A00,Hungarian Opening,151-200
Resign,B00,Owen Defense,201-250
Resign,C50,Italian Game,101-150
Draw,A03,Bird Opening,0-50
Mate,B54,Sicilian Defense,51-100
Resign,C55,Italian Game,101-150
Mate,C55,Italian Game,0-50
Resign,B12,Caro-Kann Defense,>250
Resign,D03,Queen's Pawn Game,>250
Mate,D00,Queen's Pawn Game,151-200
Mate,C10,French Defense,0-50
Resign,B01,Scandinavian Defense,51-100
Resign,B00,Nimzowitsch Defense,151-200
Resign,D31,Semi-Slav Defense,201-250
Mate,B01,Scandinavian Defense,101-150
Resign,B06,Robatsch (Modern) Defense,0-50
Resign,D30,Queen's Gambit,0-50
Resign,C69,Ruy Lopez,0-50
Mate,C40,King's Pawn Game,0-50
Mate,C50,Italian Game,0-50
Resign,D41,Queen's Gambit,>250
Out of Time,E20,Nimzo-Indian Defense,>250
Resign,A31,English Opening,0-50
Resign,A00,Van't Kruijs Opening,>250
Out of Time,C46,Four Knights Game,>250
Draw,D46,Semi-Slav Defense,>250
Resign,B27,Sicilian Defense,101-150
Mate,C44,King's Pawn Game,51-100
Mate,B06,Modern Defense,0-50
Resign,A40,English Defense,0-50
Mate,C00,French Defense,0-50
Resign,C34,King's Gambit,0-50
Resign,A03,Bird Opening,0-50
Resign,A03,Bird Opening,0-50
Resign,C46,Four Knights Game,51-100
Draw,C48,Four Knights Game,101-150
Resign,C34,King's Gambit,101-150
Resign,C48,Four Knights Game,0-50
Resign,D00,Queen's Pawn Game,51-100
Mate,C42,Petrov's Defense,0-50
Mate,A00,Hungarian Opening,101-150
Mate,A02,Bird Opening,101-150
Mate,C20,King's Pawn Opening,101-150
Resign,C42,Russian Game,0-50
Resign,A02,Bird Opening,101-150
Resign,C47,Four Knights Game,101-150
Resign,A02,Bird Opening,101-150
Resign,C42,Russian Game,51-100
Resign,A00,Polish Opening,51-100
Resign,B24,Sicilian Defense,51-100
Resign,A45,Indian Game,>250
Resign,C67,Ruy Lopez,0-50
Resign,B11,Caro-Kann Defense,0-50
Draw,C00,French Defense,0-50
Resign,A00,Van't Kruijs Opening,0-50
Mate,B30,Sicilian Defense,101-150
Resign,C41,Philidor Defense,51-100
Mate,C60,Ruy Lopez,0-50
Resign,C50,Italian Game,0-50
Resign,C50,Italian Game,0-50
Draw,E61,Indian Game,51-100
Resign,B50,Sicilian Defense,51-100
Mate,C53,Italian Game,0-50
Mate,C57,Italian Game,0-50
Resign,C50,Italian Game,101-150
Resign,C23,Bishop's Opening,151-200
Resign,B30,Sicilian Defense,0-50
Resign,C44,Ponziani Opening,0-50
Resign,C55,Italian Game,0-50
Mate,C60,Ruy Lopez,201-250
Mate,C57,Italian Game,151-200
Resign,C42,Petrov's Defense,0-50
Resign,C23,Bishop's Opening,0-50
Resign,A00,Polish Opening,0-50
Mate,C45,Scotch Game,51-100
Resign,B96,Sicilian Defense,0-50
Resign,C53,Italian Game,0-50
Resign,C50,Italian Game,0-50
Resign,C34,King's Gambit,0-50
Resign,C23,Bishop's Opening,0-50
Mate,C50,Italian Game,0-50
Mate,C54,Italian Game,0-50
Mate,A05,King's Indian Attack,>250
Mate,D92,Gruenfeld Defense,0-50
Draw,C55,Italian Game,0-50
Mate,C00,French Defense,0-50
Resign,A45,Indian Game,0-50
Resign,B21,Sicilian Defense,0-50
Resign,B12,Caro-Kann Defense,101-150
Resign,C45,Scotch Game,>250
Resign,A49,East Indian Defense,101-150
Mate,C41,Philidor Defense,101-150
Resign,E10,Blumenfeld Countergambit,>250
Resign,C22,Center Game,51-100
Draw,A04,Zukertort Opening,151-200
Resign,D00,Queen's Pawn Game,>250
Resign,C37,King's Gambit,101-150
Resign,A09,Reti Opening,51-100
Resign,B90,Sicilian Defense,>250
Resign,B01,Scandinavian Defense,151-200
Out of Time,A01,Nimzo-Larsen Attack,51-100
Out of Time,C40,King's Knight Opening,101-150
Mate,B00,King's Pawn Game,151-200
Mate,A00,Van't Kruijs Opening,>250
Out of Time,A20,English Opening,>250
Mate,B00,Nimzowitsch Defense,101-150
Resign,D00,Queen's Pawn Game,151-200
Mate,C21,Center Game,201-250
Out of Time,C00,French Defense,51-100
Resign,A00,Van't Kruijs Opening,101-150
Out of Time,C01,French Defense,101-150
Mate,D02,Queen's Pawn Game,101-150
Out of Time,C44,Ponziani Opening,0-50
Out of Time,C20,King's Pawn Game,51-100
Out of Time,D02,Queen's Pawn Game,151-200
Mate,D02,Queen's Pawn Game,0-50
Draw,D00,Queen's Pawn Game,0-50
Resign,D01,Queen's Pawn Game,101-150
Resign,D01,Queen's Pawn Game,0-50
Resign,C40,King's Knight Opening,0-50
Resign,B01,Scandinavian Defense,0-50
Resign,C41,Philidor Defense,51-100
Resign,A00,Van't Kruijs Opening,>250
Mate,B00,Owen Defense,201-250
Mate,A00,Hungarian Opening,>250
Resign,C88,Ruy Lopez,151-200
Mate,B00,Owen Defense,101-150
Resign,A00,Van't Kruijs Opening,51-100
Mate,B00,Owen Defense,51-100
Resign,C41,Philidor Defense,0-50
Resign,B40,Sicilian Defense,>250
Mate,C00,French Defense,101-150
Mate,C01,French Defense,0-50
Resign,C00,French Defense,51-100
Resign,A46,Torre Attack,51-100
Resign,D02,Queen's Pawn Game,101-150
Out of Time,C02,French Defense,101-150
Resign,A00,Creepy Crawly Formation,>250
Resign,D00,Queen's Pawn Game,>250
Mate,A00,Creepy Crawly Formation,>250
Draw,C50,Italian Game,101-150
Mate,B34,Sicilian Defense,0-50
Resign,C40,Elephant Gambit,151-200
Mate,A01,Nimzo-Larsen Attack,0-50
Resign,C03,French Defense,51-100
Resign,E20,Nimzo-Indian Defense,>250
Mate,B13,Caro-Kann Defense,151-200
Resign,B00,Caro-Kann Defense,101-150
Out of Time,B12,Caro-Kann Defense,201-250
Resign,C40,Latvian Gambit,>250
Resign,A00,Global Opening,0-50
Mate,C33,King's Gambit,0-50
Resign,C33,King's Gambit,0-50
Resign,C55,Italian Game,201-250
Resign,B02,Alekhine Defense,0-50
Resign,B02,Alekhine Defense,>250
Resign,A40,Horwitz Defense,101-150
Resign,B06,Modern Defense,0-50
Resign,B03,Alekhine Defense,0-50
Resign,D00,Queen's Pawn Game,151-200
Mate,B10,Caro-Kann Defense,201-250
Resign,D00,Queen's Pawn Game,>250
Out of Time,B02,Alekhine Defense,0-50
Out of Time,B01,Scandinavian Defense,151-200
Resign,E00,Indian Game,>250
Resign,C11,French Defense,>250
Resign,A45,Trompowsky Attack,>250
Out of Time,D00,Queen's Pawn Game,201-250
Mate,B01,Scandinavian Defense,51-100
Resign,A80,Dutch Defense,101-150
Mate,B01,Scandinavian Defense,151-200
Mate,B01,Scandinavian Defense,51-100
Resign,A40,Englund Gambit,101-150
Draw,B01,Scandinavian Defense,101-150
Draw,A48,London System,201-250
Resign,B01,Scandinavian Defense,0-50
Resign,A40,Modern Defense,>250
Mate,A11,English Opening,>250
Resign,A45,Indian Game,>250
Resign,D00,Queen's Pawn Game,201-250
Draw,A81,Dutch Defense,151-200
Resign,D02,Queen's Pawn Game,101-150
Resign,B03,Alekhine Defense,51-100
Mate,A45,Indian Game,0-50
Mate,B05,Alekhine Defense,0-50
Draw,B01,Scandinavian Defense,101-150
Resign,A45,Indian Game,>250
Resign,C00,French Defense,101-150
Resign,C41,Philidor Defense,51-100
Resign,B54,Sicilian Defense,51-100
Resign,C00,French Defense,51-100
Mate,C00,French Defense,>250
Mate,B53,Sicilian Defense,201-250
Resign,B06,Modern Defense,151-200
Out of Time,D00,Queen's Pawn Game,101-150
Resign,D10,Slav Defense,>250
Resign,B08,Pirc Defense,0-50
Resign,B06,Modern Defense,0-50
Resign,C30,King's Gambit,51-100
Draw,A40,Modern Defense,51-100
Mate,A10,English Opening,101-150
Mate,A40,Horwitz Defense,51-100
Resign,A15,English Opening,51-100
Resign,B43,Sicilian Defense,51-100
Resign,C00,French Defense,101-150
Mate,B53,Sicilian Defense,0-50
Resign,C00,French Defense,0-50
Resign,D00,Queen's Pawn Game,>250
Mate,C21,Danish Gambit,>250
Resign,A00,Mieses Opening,>250
Draw,B00,Carr Defense,>250
Resign,A00,Polish Opening,>250
Mate,C01,French Defense,>250
Resign,C00,French Defense,151-200
Resign,D02,Queen's Pawn Game,151-200
Mate,A40,Horwitz Defense,0-50
Resign,A03,Bird Opening,0-50
Resign,A10,English Opening,0-50
Out of Time,A11,English Opening,201-250
Resign,A15,English Opening,201-250
Resign,C10,French Defense,0-50
Draw,A10,English Opening,101-150
Mate,C01,French Defense,101-150
Mate,C07,French Defense,>250
Resign,A34,English Opening,0-50
Resign,D08,Queen's Gambit,0-50
Mate,A30,English Opening,51-100
Mate,E61,King's Indian Defense,0-50
Resign,A08,King's Indian Attack,0-50
Mate,A11,English Opening,0-50
Mate,A13,English Opening,201-250
Resign,D11,Slav Defense,51-100
Resign,D03,Queen's Pawn Game,101-150
Resign,D06,Queen's Gambit,51-100
Resign,D20,Queen's Gambit,0-50
Resign,D31,Queen's Gambit,101-150
Resign,D50,Queen's Gambit,101-150
Mate,B52,Sicilian Defense,0-50
Resign,D06,Queen's Gambit,101-150
Resign,A73,Benoni Defense,101-150
Mate,D20,Queen's Gambit,51-100
Resign,D35,Queen's Gambit,0-50
Resign,A01,Nimzo-Larsen Attack,51-100
Resign,D31,Semi-Slav Defense,101-150
Resign,C50,Italian Game,>250
Resign,C20,King's Pawn Game,0-50
Resign,D20,Queen's Gambit,0-50
Resign,C44,Ponziani Opening,0-50
Mate,D20,Queen's Gambit,151-200
Resign,D31,Queen's Gambit,201-250
Draw,D35,Queen's Gambit,51-100
Resign,A40,Englund Gambit,51-100
Mate,D20,Queen's Gambit,201-250
Resign,D08,Queen's Gambit,51-100
Resign,D21,Queen's Gambit,0-50
Resign,C44,Scotch Game,51-100
Resign,D00,Queen's Pawn Game,0-50
Mate,B01,Scandinavian Defense,51-100
Resign,C50,Four Knights Game,0-50
Resign,C50,Italian Game,>250
Resign,C21,Center Game,0-50
Resign,C70,Ruy Lopez,>250
Resign,C42,Russian Game,0-50
Resign,B18,Caro-Kann Defense,151-200
Resign,C53,Italian Game,0-50
Resign,C78,Ruy Lopez,151-200
Resign,D00,Queen's Pawn Game,101-150
Resign,C41,Philidor Defense,151-200
Resign,C65,Ruy Lopez,0-50
Out of Time,C70,Ruy Lopez,>250
Resign,C53,Italian Game,51-100
Mate,A00,Hungarian Opening,51-100
Resign,C70,Ruy Lopez,51-100
Resign,B30,Sicilian Defense,51-100
Mate,C50,Giuoco Piano,51-100
Resign,C20,King's Pawn Game,101-150
Resign,C64,Ruy Lopez,201-250
Mate,C70,Ruy Lopez,101-150
Out of Time,C53,Italian Game,151-200
Mate,D02,Queen's Pawn Game,101-150
Resign,C42,Petrov's Defense,51-100
Mate,C20,Bishop's Opening,151-200
Resign,C44,Scotch Game,0-50
Resign,C42,Russian Game,51-100
Resign,C55,Italian Game,51-100
Resign,D01,Queen's Pawn Game,101-150
Draw,C50,Italian Game,>250
Mate,C00,French Defense,51-100
Mate,C20,King's Pawn Game,51-100
Mate,C40,Elephant Gambit,0-50
Mate,C20,King's Pawn Game,101-150
Mate,A00,Van't Kruijs Opening,0-50
Resign,C15,French Defense,51-100
Out of Time,C00,French Defense,51-100
Mate,C46,Three Knights Opening,201-250
Mate,C42,Russian Game,101-150
Resign,C26,Vienna Game,101-150
Resign,C50,Giuoco Piano,101-150
Mate,C70,Ruy Lopez,101-150
Mate,C48,Four Knights Game,101-150
Mate,C41,Philidor Defense,51-100
Resign,B00,Goldsmith Defense,201-250
Resign,A00,Ware Opening,201-250
Resign,B06,Modern Defense,0-50
Resign,B23,Sicilian Defense,201-250
Resign,A10,English Opening,51-100
Resign,B23,Sicilian Defense,51-100
Resign,A15,English Opening,51-100
Resign,A01,Nimzo-Larsen Attack,51-100
Mate,A45,Indian Game,101-150
Draw,B01,Scandinavian Defense,0-50
Draw,B01,Scandinavian Defense,0-50
Resign,A01,Nimzo-Larsen Attack,51-100
Resign,B09,Pirc Defense,51-100
Resign,A01,Nimzo-Larsen Attack,51-100
Resign,A02,Bird Opening,0-50
Mate,A01,Nimzo-Larsen Attack,51-100
Resign,B00,Nimzowitsch Defense,>250
Draw,B01,Scandinavian Defense,51-100
Mate,A01,Nimzo-Larsen Attack,51-100
Resign,A52,Budapest Defense,201-250
Mate,B01,Scandinavian Defense,>250
Resign,B01,Scandinavian Defense,0-50
Mate,B01,Scandinavian Defense,201-250
Resign,A01,Nimzo-Larsen Attack,>250
Resign,A01,Nimzo-Larsen Attack,>250
Resign,B01,Scandinavian Defense,151-200
Resign,B00,Nimzowitsch Defense,>250
Mate,E90,King's Indian Defense,>250
Resign,B23,Sicilian Defense,51-100
Mate,A06,Reti Opening,>250
Resign,C00,French Defense,>250
Mate,A04,Zukertort Opening,>250
Resign,B02,Alekhine Defense,>250
Draw,A48,London System,>250
Resign,B01,Scandinavian Defense,151-200
Resign,A15,English Opening,51-100
Resign,B15,Caro-Kann Defense,51-100
Mate,C70,Ruy Lopez,>250
Mate,B01,Scandinavian Defense,>250
Out of Time,C50,Italian Game,>250
Resign,C48,Four Knights Game,>250
Resign,C48,Four Knights Game,>250
Out of Time,C60,Ruy Lopez,0-50
Out of Time,B20,Sicilian Defense,151-200
Resign,D17,Slav Defense,>250
Resign,B20,Sicilian Defense,0-50
Mate,B50,Sicilian Defense,151-200
Resign,C41,Philidor Defense,>250
Resign,D01,Richter-Veresov Attack,>250
Mate,D00,Blackmar-Diemer Gambit,101-150
Mate,D20,Queen's Gambit,101-150
Resign,C00,French Defense,51-100
Resign,D10,Slav Defense,0-50
Resign,A43,Franco-Benoni Defense,0-50
Resign,C02,French Defense,101-150
Resign,B06,Robatsch (Modern) Defense,>250
Mate,A65,Benoni Defense,101-150
Mate,C02,French Defense,0-50
Resign,C02,French Defense,0-50
Resign,D30,Queen's Gambit,51-100
Resign,C07,French Defense,0-50
Mate,B01,Scandinavian Defense,>250
Resign,A00,Mieses Opening,0-50
Mate,A04,Zukertort Opening,201-250
Mate,C41,Philidor Defense,>250
Mate,A06,Zukertort Opening,>250
Out of Time,C20,King's Pawn Game,>250
Draw,D02,Queen's Pawn Game,101-150
Mate,C42,Russian Game,0-50
Resign,C46,Four Knights Game,51-100
Resign,B22,Sicilian Defense,0-50
Resign,B33,Sicilian Defense,0-50
Resign,D02,Queen's Pawn Game,0-50
Resign,C45,Scotch Game,>250
Resign,C61,Ruy Lopez,>250
Resign,A67,Benoni Defense,>250
Mate,B52,Sicilian Defense,>250
Resign,C42,Russian Game,>250
Resign,C47,Four Knights Game,>250
Mate,B43,Sicilian Defense,>250
Resign,A40,Horwitz Defense,>250
Mate,C62,Ruy Lopez,>250
Resign,A04,Zukertort Opening,>250
Resign,D94,Gruenfeld Defense,>250
Resign,E20,Nimzo-Indian Defense,>250
Resign,C42,Petrov's Defense,101-150
Mate,D37,Queen's Gambit,>250
Resign,B17,Caro-Kann Defense,>250
Resign,B22,Sicilian Defense,>250
Resign,E21,Nimzo-Indian Defense,>250
Resign,B02,Alekhine Defense,>250
Mate,B34,Sicilian Defense,>250
Resign,B43,Sicilian Defense,0-50
Resign,D30,Queen's Gambit,>250
Resign,E00,Indian Game,>250
Mate,B33,Sicilian Defense,>250
Resign,A99,Dutch Defense,151-200
Mate,B43,Sicilian Defense,151-200
Resign,B09,Pirc Defense,201-250
Resign,C45,Scotch Game,151-200
Resign,E61,King's Indian Defense,201-250
Resign,B22,Sicilian Defense,151-200
Resign,A16,English Opening,>250
Resign,A22,English Opening,101-150
Mate,C41,Philidor Defense,>250
Resign,B30,Sicilian Defense,151-200
Resign,E21,Nimzo-Indian Defense,>250
Resign,B41,Sicilian Defense,>250
Resign,B33,Sicilian Defense,>250
Resign,B90,Sicilian Defense,>250
Mate,B33,Sicilian Defense,201-250
Resign,D43,Semi-Slav Defense,>250
Mate,B21,Sicilian Defense,>250
Resign,B01,Scandinavian Defense,>250
Resign,C48,Four Knights Game,101-150
Out of Time,D30,Queen's Gambit,0-50
Mate,D30,Queen's Gambit,0-50
Resign,D10,Slav Defense,0-50
Mate,D06,Queen's Gambit,101-150
Resign,B30,Sicilian Defense,51-100
Resign,D30,Queen's Gambit,0-50
Resign,B30,Sicilian Defense,0-50
Resign,C01,French Defense,51-100
Mate,A00,Van Geet Opening,51-100
Mate,C20,English Opening,>250
Mate,A40,Polish Defense,151-200
Resign,D02,Queen's Pawn Game,151-200
Resign,C66,Ruy Lopez,>250
Resign,C42,Petrov's Defense,0-50
Out of Time,C41,Philidor Defense,0-50
Mate,B20,Sicilian Defense,101-150
Resign,E17,Queen's Indian Defense,51-100
Out of Time,A43,Old Benoni Defense,151-200
Resign,B00,Owen Defense,51-100
Mate,A01,Nimzo-Larsen Attack,0-50
Mate,B27,Sicilian Defense,0-50
Resign,A00,Kadas Opening,0-50
Mate,B07,Pirc Defense,101-150
Resign,C44,Scotch Game,0-50
Mate,C62,Ruy Lopez,0-50
Resign,C45,Scotch Game,101-150
Resign,C41,Philidor Defense,101-150
Resign,B34,Sicilian Defense,>250
Resign,C45,Scotch Game,0-50
Resign,C62,Ruy Lopez,51-100
Resign,D30,Queen's Gambit,0-50
Resign,A00,Polish Opening,0-50
Resign,E90,King's Indian Defense,51-100
Resign,D00,Queen's Pawn Game,0-50
Mate,D46,Semi-Slav Defense,0-50
Resign,C57,Italian Game,>250
Resign,C57,Italian Game,101-150
Out of Time,B15,Caro-Kann Defense,0-50
