turns,winner,white_rating,black_rating,opening_moves,rating_gap,higher_rated_victory
62,2,1734,1748,4,14,0
101,2,1942,1739,6,203,1
75,2,1724,1855,7,131,0
135,2,1951,1729,11,222,1
81,2,1726,1388,5,338,1
46,1,1735,1806,6,71,1
70,1,1597,1728,3,131,1
39,2,1743,1738,10,5,1
91,2,1721,1750,7,29,0
137,2,1746,1487,5,259,1
46,1,1744,1735,9,9,0
18,1,1749,1631,9,118,0
28,1,1769,1396,5,373,0
40,1,1795,1760,5,35,0
111,2,1729,1795,5,66,0
54,1,1795,1784,6,11,0
33,2,1770,1872,3,102,0
90,1,1783,1721,5,62,0
90,1,1884,1768,7,116,0
40,1,1756,1756,5,0,0
49,2,1724,1958,5,234,0
50,1,2036,1706,6,330,0
59,2,1706,925,5,781,1
26,1,1244,1219,4,25,0
23,2,1215,921,5,294,1
118,1,1350,1201,5,149,0
66,1,1210,1280,4,70,1
120,0,1139,1212,8,73,0
36,1,1220,1341,11,121,1
26,1,1234,1359,6,125,1
62,1,1275,1236,11,39,0
37,2,1433,1282,3,151,1
24,1,1132,1276,4,144,1
47,2,1276,1308,6,32,0
37,1,1228,1266,7,38,1
24,1,1273,1409,5,136,1
9,2,1338,1277,3,61,1
47,2,1263,1336,8,73,0
85,2,1316,1273,2,43,1
39,2,1248,1253,2,5,0
58,1,1335,1233,6,102,0
95,2,1223,1189,11,34,1
2,1,1443,1204,2,239,0
97,2,1227,1216,4,11,1
12,0,1215,1219,5,4,0
30,2,1227,1227,8,0,0
43,2,1550,1225,8,325,1
11,2,1325,1234,2,91,1
72,1,1212,1221,5,9,1
156,1,1226,1478,3,252,1
18,1,1228,1626,4,398,1
77,2,1191,1228,7,37,0
32,1,1422,1210,5,212,0
35,2,1186,1223,5,37,0
85,2,1212,1212,2,0,0
50,1,1228,1343,6,115,1
111,2,1865,1862,5,3,1
65,2,1852,1852,5,0,0
73,2,1833,1863,4,30,0
125,2,1851,1918,4,67,0
76,1,1861,1844,6,17,0
65,2,1853,1774,6,79,1
41,2,1910,1862,11,48,1
59,2,1851,1890,3,39,0
70,1,1860,1840,5,20,0
34,2,1828,1848,5,20,0
69,2,1855,1858,1,3,0
63,2,1847,1895,8,48,0
107,2,1885,1856,4,29,1
58,2,1847,1802,1,45,1
34,1,1847,1856,6,9,1
100,1,1840,1837,3,3,0
80,1,1848,1806,4,42,0
44,1,1860,1820,3,40,0
40,1,1854,1849,3,5,0
105,2,1895,1859,4,36,1
50,1,1866,1965,6,99,1
144,0,1866,1843,4,23,0
81,1,1835,1866,11,31,1
69,1,1877,1860,6,17,0
77,2,1849,1874,11,25,0
158,1,1835,1865,6,30,1
107,0,1866,1835,7,31,0
117,2,1856,1829,12,27,1
44,2,1845,1846,8,1,0
40,1,1834,1835,4,1,1
59,2,1846,1845,2,1,1
110,1,1845,1917,4,72,1
30,1,1858,1790,4,68,0
54,1,1871,1847,4,24,0
69,1,1846,1869,5,23,1
178,1,1843,1836,3,7,0
136,1,1800,1826,2,26,1
124,1,1283,1267,5,16,0
96,1,1290,1270,1,20,0
53,2,1331,1281,4,50,1
39,2,1304,1292,1,12,1
10,1,1305,1293,3,12,0
51,2,1308,1317,8,9,0
18,1,1296,1305,13,9,1
106,1,968,1305,8,337,1
38,1,1293,1466,5,173,1
59,2,1500,1299,7,201,1
111,2,1288,1232,3,56,1
28,1,1289,2108,9,819,1
101,2,1431,1289,6,142,1
15,2,1806,1289,7,517,1
42,2,1289,1311,5,22,0
118,1,1431,1289,3,142,0
34,1,1289,1484,6,195,1
60,1,1289,1810,5,521,1
66,1,1806,1289,5,517,0
21,2,1289,1500,5,211,0
73,2,1409,1297,8,112,1
159,2,1280,1485,6,205,0
74,2,1280,1211,4,69,1
28,1,1211,1280,3,69,1
112,1,1281,1765,6,484,1
104,1,1288,1454,4,166,1
40,1,1560,1270,5,290,0
44,1,1274,1534,4,260,1
150,0,1259,1663,6,404,0
60,1,1614,1238,5,376,0
37,2,1221,1417,11,196,0
88,1,1222,1732,7,510,1
113,2,1232,1234,7,2,0
55,2,1240,1219,8,21,1
135,2,1590,1600,5,10,0
137,0,1568,1617,5,49,0
97,2,1500,1358,6,142,1
33,1,1384,1325,2,59,0
29,1,1384,1265,3,119,0
55,1,1384,1950,2,566,1
91,2,1377,1249,4,128,1
53,2,1375,1389,4,14,0
49,2,1378,1361,5,17,1
48,1,1261,1371,4,110,1
20,1,1380,1429,4,49,1
87,2,1369,1368,6,1,1
11,2,1290,1371,9,81,0
110,0,1372,1326,2,46,0
24,2,1361,1383,1,22,0
23,2,1217,1399,4,182,0
81,2,1387,1447,5,60,0
34,1,1474,1387,2,87,0
103,2,1377,1351,4,26,1
29,1,1389,1339,4,50,0
22,1,1389,1400,4,11,1
38,2,1849,1389,5,460,1
46,1,1395,1378,9,17,0
23,2,1370,1257,6,113,1
31,2,1360,1332,5,28,1
51,2,1311,1360,4,49,0
87,2,1714,1360,6,354,1
31,2,1354,1217,5,137,1
38,1,1245,1346,5,101,1
43,2,1346,1099,6,247,1
105,2,1336,1287,4,49,1
87,2,1580,1555,2,25,1
36,1,1555,1580,6,25,1
38,1,1649,1547,6,102,0
110,1,1426,1527,3,101,1
48,1,1557,1547,8,10,0
95,2,1557,1607,5,50,0
70,1,1607,1557,1,50,0
42,2,1557,1632,7,75,0
177,2,1535,1609,11,74,0
114,1,1713,1558,2,155,0
57,2,1497,1730,2,233,0
57,2,1437,1552,5,115,0
82,0,1516,1552,2,36,0
29,2,1513,1456,5,57,1
70,1,1355,1478,7,123,1
97,2,1638,1614,6,24,1
99,2,1613,1934,11,321,0
74,1,1865,1613,5,252,0
48,1,1776,1587,2,189,0
77,2,1568,1593,6,25,0
80,1,1605,1546,6,59,0
35,2,1518,1709,5,191,0
33,2,1728,1527,8,201,1
87,2,1515,1379,4,136,1
40,1,1538,1501,4,37,0
54,1,1511,1516,4,5,1
67,1,1464,1495,9,31,1
21,2,1470,1475,4,5,0
14,1,1490,1440,6,50,0
71,2,1611,1974,18,363,0
72,1,1611,1945,8,334,1
62,1,1584,1611,5,27,1
48,1,1942,1611,1,331,0
6,1,1217,1611,6,394,1
69,0,1611,2059,12,448,0
72,2,1611,1478,4,133,1
40,1,1486,1552,5,66,1
29,2,1453,1496,2,43,0
44,2,1340,1326,2,14,1
59,2,1532,1500,3,32,1
115,2,1560,1557,6,3,1
70,1,1571,1577,2,6,1
36,1,1580,1617,2,37,1
83,2,1531,1593,7,62,0
99,0,1449,1597,9,148,0
43,2,1743,1604,6,139,1
89,2,1604,1614,8,10,0
96,1,1550,1605,3,55,1
116,1,1630,1605,8,25,0
78,1,1475,1605,1,130,1
77,2,1605,1475,1,130,1
70,1,1475,1605,3,130,1
27,2,1570,1605,7,35,0
102,1,1605,1500,1,105,0
21,2,1500,1605,9,105,0
33,2,1605,1500,1,105,1
74,1,1513,1605,5,92,1
65,2,1790,1874,1,84,0
81,2,1864,1805,5,59,1
45,1,1496,1861,3,365,1
52,2,1851,1853,8,2,0
51,2,1861,1863,4,2,0
48,0,1618,1609,3,9,0
20,1,1620,1607,1,13,0
50,1,1621,1496,5,125,0
98,1,1633,1581,5,52,0
106,1,1623,1623,6,0,0
19,2,1612,1614,5,2,0
22,2,1605,1624,8,19,0
114,0,1693,1621,4,72,0
69,1,1631,1684,4,53,1
34,1,1636,1619,8,17,0
40,1,1613,1617,8,4,1
108,1,1627,1495,6,132,0
27,2,1480,1643,3,163,0
63,2,1631,1652,5,21,0
31,2,1687,1641,5,46,1
71,2,1630,1638,6,8,0
92,1,1414,1624,6,210,1
47,2,1619,1419,7,200,1
56,1,1629,1659,5,30,1
48,2,1649,1639,3,10,1
124,1,1677,1627,1,50,0
49,2,1705,1636,8,69,1
64,1,1647,1635,13,12,0
29,2,1637,1627,7,10,1
45,2,1626,1631,5,5,0
96,1,1602,1615,6,13,1
92,1,1634,1603,3,31,0
40,1,1611,1591,9,20,0
123,2,1579,1623,19,44,0
129,2,1995,1581,4,414,1
120,1,1589,1569,9,20,0
71,0,1570,1555,6,15,0
97,2,1559,1557,3,2,1
60,2,1546,1571,2,25,0
57,2,1550,1567,6,17,0
38,2,1560,1419,5,141,1
111,2,1840,1564,8,276,1
119,1,1660,1549,4,111,0
33,2,1534,1678,5,144,0
32,2,1789,1538,6,251,1
96,1,1841,1921,8,80,1
92,0,1926,1737,2,189,0
64,1,1629,1887,3,258,1
10,1,1860,1712,7,148,0
85,2,1500,1568,4,68,0
40,1,1780,2132,10,352,1
58,1,966,1124,2,158,1
26,1,884,951,2,67,1
4,1,945,1070,3,125,1
118,1,971,1149,3,178,1
11,2,1238,985,1,253,1
163,0,972,1247,2,275,0
95,2,1107,961,4,146,1
37,1,974,1129,3,155,1
101,2,1203,970,3,233,1
80,1,998,937,5,61,0
78,1,1016,1126,1,110,1
89,0,1025,1153,4,128,0
42,1,1047,1151,4,104,1
8,1,998,1016,6,18,1
101,2,1127,1044,3,83,1
65,2,1020,1200,3,180,0
60,1,1069,1071,4,2,1
71,0,1071,1068,3,3,0
44,1,1115,1223,4,108,1
20,1,1190,1213,4,23,1
41,2,1337,1337,3,0,0
40,1,1500,1500,2,0,0
27,2,1500,1571,7,71,0
59,1,1367,1866,1,499,1
19,2,1590,1373,2,217,1
50,1,1377,1667,1,290,1
34,1,1558,1358,15,200,0
15,2,1476,1367,2,109,1
52,1,1376,1469,1,93,1
65,2,1460,1386,2,74,1
67,2,1372,1408,5,36,0
31,1,1373,2148,4,775,1
130,1,1500,1395,2,105,0
125,2,1382,1414,5,32,0
76,1,1320,1400,3,80,1
121,2,1383,1330,3,53,1
53,2,1383,1242,3,141,1
116,1,1469,1357,9,112,0
47,2,959,1357,4,398,0
53,2,1357,959,3,398,1
76,1,959,1357,4,398,1
110,0,1588,1691,8,103,0
67,2,1541,1586,9,45,0
17,2,1517,1320,4,197,1
39,2,1569,1569,2,0,0
94,1,1563,1498,5,65,0
37,2,1903,1512,8,391,1
37,2,1612,1450,5,162,1
34,2,1327,1450,3,123,0
41,2,1245,1450,5,205,0
30,1,1921,1451,4,470,0
51,2,1462,1464,3,2,0
79,2,1450,1486,6,36,0
83,2,1439,1418,5,21,1
14,1,1728,1500,6,228,0
21,2,1547,1563,4,16,0
47,2,1863,1567,2,296,1
38,2,1559,1423,2,136,1
34,1,1570,1611,7,41,1
39,2,1562,1582,6,20,0
43,2,1576,1386,3,190,1
41,2,1353,1595,3,242,0
49,2,1591,1326,3,265,1
38,1,1560,1580,4,20,1
70,1,1727,1574,4,153,0
48,1,1579,1841,4,262,1
50,1,1877,1558,11,319,0
57,2,1536,1962,3,426,0
148,0,1529,1763,3,234,0
62,1,1590,1515,4,75,0
29,2,1653,1522,2,131,1
52,1,1675,1505,6,170,0
26,1,1547,1491,6,56,0
59,1,1507,1399,2,108,0
2,0,1641,1502,2,139,0
195,0,1496,1703,5,207,0
56,1,1482,1484,4,2,1
40,1,1486,1909,2,423,1
31,2,1919,1488,2,431,1
60,1,1488,2192,2,704,1
45,2,1470,1684,3,214,0
63,0,1465,1659,3,194,0
17,2,1586,1473,5,113,1
34,2,1548,1488,6,60,1
36,1,1500,1501,2,1,1
62,1,1509,1487,8,22,0
46,0,1356,1491,2,135,0
34,1,1495,1771,2,276,1
38,2,1529,1639,3,110,0
107,2,1631,1537,6,94,1
42,1,1546,1621,6,75,1
35,2,1568,1636,5,68,0
122,1,1354,1631,5,277,1
71,2,1626,1384,7,242,1
42,1,1639,1813,6,174,1
2,1,1646,1795,2,149,1
11,2,1646,939,4,707,1
54,1,1657,1678,8,21,1
58,2,1667,1668,5,1,0
42,1,1683,1599,4,84,0
116,0,1596,1686,2,90,0
74,1,1769,1659,2,110,0
54,1,1668,1761,2,93,1
85,2,1752,1677,2,75,1
38,1,1688,1743,10,55,1
41,2,1582,1704,3,122,0
121,2,1693,1666,7,27,1
30,1,1676,1680,3,4,1
64,1,1142,1679,3,537,1
15,2,1678,1148,10,530,1
40,1,1154,1676,1,522,1
128,0,1686,1098,2,588,0
48,1,1102,1685,1,583,1
51,2,1684,1107,4,577,1
71,1,1493,1678,2,185,1
60,2,1525,1693,3,168,0
58,1,1709,1681,2,28,0
60,1,1692,1699,2,7,1
40,2,1688,1704,2,16,0
29,2,1699,1497,2,202,1
98,1,1703,1943,2,240,1
71,1,1694,1692,6,2,0
135,0,1696,1564,2,132,0
34,1,1572,1688,5,116,1
60,1,1392,1684,6,292,1
47,1,1707,1696,3,11,0
23,2,1684,1720,7,36,0
78,1,1733,1672,2,61,0
35,2,1721,1736,6,15,0
53,2,1724,1733,4,9,0
120,1,1746,1712,2,34,0
41,2,1741,1496,2,245,1
42,1,1295,1240,7,55,0
63,2,1430,1302,5,128,1
23,1,1302,1248,4,54,0
32,1,1314,1270,5,44,0
73,2,1445,1314,5,131,1
90,1,1321,1451,7,130,1
41,2,1300,1333,6,33,0
43,2,1318,1449,4,131,0
38,1,1450,1303,17,147,0
41,2,1290,1367,5,77,0
84,1,1300,1330,9,30,1
56,1,1209,1291,5,82,1
30,1,1299,1418,6,119,1
6,2,1814,1299,5,515,1
67,2,1348,1308,3,40,1
56,1,1318,1366,5,48,1
103,2,1324,1329,6,5,0
40,1,1345,1187,5,158,0
52,1,1352,1149,5,203,0
57,0,1350,1429,10,79,0
23,2,1403,1340,3,63,1
39,2,1322,1072,5,250,1
52,1,1331,1382,4,51,1
41,2,1373,1341,6,32,1
33,2,1350,1265,5,85,1
58,1,1270,1299,3,29,1
31,2,1223,1282,4,59,0
15,2,1289,1306,8,17,0
32,1,1007,1268,6,261,1
45,2,1170,1179,5,9,0
25,2,1442,1183,8,259,1
15,2,1172,1170,5,2,1
62,1,1178,1346,8,168,1
59,2,1171,1190,9,19,0
51,2,1175,1329,10,154,0
22,1,1273,1160,2,113,0
27,2,1154,974,5,180,1
34,1,1167,1122,6,45,0
79,2,1439,1171,10,268,1
73,2,1245,1170,9,75,1
74,1,1250,1156,1,94,0
92,1,1164,1263,8,99,1
26,1,1173,1251,5,78,1
40,1,1089,1165,6,76,1
77,2,1278,1173,3,105,1
58,1,1178,1391,6,213,1
51,2,1164,1293,10,129,0
73,2,1353,1170,7,183,1
50,1,1030,1162,3,132,1
52,1,1176,1118,4,58,0
11,2,1353,1181,4,172,1
61,2,1184,1184,5,0,0
19,2,1171,1252,5,81,0
51,2,1157,1234,7,77,0
12,1,1034,1149,4,115,1
86,0,1156,886,5,270,0
27,2,1142,1226,3,84,0
86,1,1042,1133,3,91,1
61,2,1123,1084,6,39,1
53,2,1247,1122,3,125,1
50,1,1070,1112,1,42,1
16,2,1099,1173,7,74,0
110,1,1114,1027,5,87,0
45,2,914,1133,5,219,0
93,2,1125,996,5,129,1
105,2,1242,1125,4,117,1
60,1,1133,1234,6,101,1
58,1,981,1127,6,146,1
65,2,1111,1219,7,108,0
56,1,1126,1054,5,72,0
64,1,1147,908,4,239,0
4,1,914,1141,1,227,1
58,1,1984,1948,6,36,0
34,1,1954,2158,3,204,1
101,2,2008,1954,4,54,1
35,1,1954,2008,5,54,1
54,1,2008,1954,2,54,0
116,1,1954,2008,2,54,1
115,2,2100,1960,2,140,1
48,0,1945,1961,6,16,0
56,0,1982,1960,2,22,0
54,1,1974,1899,2,75,0
37,2,2068,1982,11,86,1
81,2,1959,2028,1,69,0
45,2,2005,1969,1,36,1
161,2,1960,1868,2,92,1
88,1,1964,2287,5,323,1
148,0,1914,1965,4,51,0
119,2,1951,2049,2,98,0
60,1,2149,1933,7,216,0
34,1,1599,1929,6,330,1
94,1,1882,1919,6,37,1
122,1,1699,1914,5,215,1
44,1,1916,2285,2,369,1
26,1,1936,1638,5,298,0
116,1,1758,1929,4,171,1
31,2,1265,1957,5,692,0
133,2,1954,1578,9,376,1
65,2,1984,2050,4,66,0
62,1,2050,1627,2,423,0
62,1,1627,2050,3,423,1
42,1,2050,1627,2,423,0
42,1,1627,2050,2,423,1
158,0,1617,2050,5,433,0
31,2,2050,1852,6,198,1
46,1,1981,2050,4,69,1
20,1,2050,1981,9,69,0
73,2,1901,1164,8,737,1
35,2,1164,1435,4,271,0
71,2,1435,1164,7,271,1
46,2,1164,1435,7,271,0
52,1,1164,1901,8,737,1
52,1,1245,1228,5,17,0
70,1,1287,1099,2,188,0
49,2,1866,1099,10,767,1
75,2,1211,1230,2,19,0
61,2,1344,1500,4,156,0
41,2,1834,1500,8,334,1
46,1,1500,1834,5,334,1
53,2,1635,1500,10,135,1
52,1,1456,1604,4,148,1
36,1,1378,1318,3,60,0
64,1,1500,1487,5,13,0
65,2,1714,1709,5,5,1
71,2,1613,1729,9,116,0
50,1,1731,2127,4,396,1
54,1,1739,1840,11,101,1
76,1,1760,1718,7,42,0
61,2,1708,1729,8,21,0
53,2,1721,1643,4,78,1
24,1,1707,1712,7,5,1
64,1,1170,1662,2,492,1
51,2,1261,1237,1,24,1
71,2,1100,1306,3,206,0
49,2,1590,1100,7,490,1
34,1,1100,1590,3,490,1
88,1,1302,875,3,427,0
11,0,1234,1335,4,101,0
11,2,1522,1500,6,22,1
86,1,2306,2405,7,99,1
58,1,2422,2386,8,36,0
50,1,2373,2356,17,17,0
62,1,2325,2338,5,13,1
39,2,2336,1830,9,506,1
49,2,2334,1836,6,498,1
43,2,2329,2017,15,312,1
84,1,1879,2326,6,447,1
41,2,2323,1881,16,442,1
48,1,1622,2322,9,700,1
48,1,1933,2318,10,385,1
38,1,1983,2313,2,330,1
41,2,2312,1663,6,649,1
28,1,1866,2309,2,443,1
74,1,1835,2307,9,472,1
29,2,2300,2041,8,259,1
45,2,2288,2148,4,140,1
61,2,2283,1947,7,336,1
19,2,2275,2016,12,259,1
48,1,1909,2271,8,362,1
41,2,2263,2006,7,257,1
30,1,1293,2263,2,970,1
55,2,2257,1922,9,335,1
72,1,2191,2239,10,48,1
78,1,1380,2239,4,859,1
34,1,1796,2235,4,439,1
56,1,1879,2230,11,351,1
49,2,2217,2059,15,158,1
72,1,2336,2185,10,151,0
70,2,2175,1936,11,239,1
83,2,2161,1984,8,177,1
57,2,2150,1915,6,235,1
39,1,1976,2135,6,159,1
56,1,1830,2126,4,296,1
46,1,2001,2105,6,104,1
31,2,2104,1344,5,760,1
66,1,1918,2086,4,168,1
52,2,2082,1500,7,582,1
100,1,1774,2071,8,297,1
10,1,1778,2059,8,281,1
49,1,1783,2045,10,262,1
100,1,1788,2029,11,241,1
107,2,1609,2109,8,500,0
44,1,1701,2100,3,399,1
27,2,2091,1704,4,387,1
72,1,1931,2061,8,130,1
21,2,1408,1396,4,12,1
91,2,1398,1383,4,15,1
35,2,1387,1399,5,12,0
50,1,1394,1512,4,118,1
56,1,1479,1381,4,98,0
37,2,1371,1374,4,3,0
66,1,1372,1360,4,12,0
40,2,1351,1287,4,64,1
32,1,1209,1265,1,56,1
26,1,1221,1820,3,599,1
89,2,1332,1500,2,168,0
65,1,1528,1369,3,159,0
37,2,1231,1545,8,314,0
48,2,1142,1138,6,4,1
54,1,1263,1264,7,1,1
43,2,1392,1500,2,108,0
60,1,1906,1834,11,72,0
122,1,1841,2015,2,174,1
49,2,1905,1852,2,53,1
56,1,1467,1478,4,11,1
77,2,1478,1500,3,22,0
60,1,1500,1478,1,22,0
33,2,1478,1362,2,116,1
83,2,1478,1490,5,12,0
102,1,1453,1466,6,13,1
29,2,1466,1592,7,126,0
91,2,1466,1582,4,116,0
34,1,1466,1744,9,278,1
59,1,1479,1454,7,25,0
41,2,1566,1493,6,73,1
54,1,1454,1421,6,33,0
43,2,1444,1465,1,21,0
34,1,1387,1457,9,70,1
122,1,1417,1447,3,30,1
51,2,1436,1439,12,3,0
62,1,1455,1081,10,374,0
30,1,1318,1448,10,130,1
79,2,1437,1446,9,9,0
32,1,1448,1436,4,12,0
78,1,1308,1441,5,133,1
82,1,1708,1851,4,143,1
64,1,1960,2260,5,300,1
59,1,1969,2247,5,278,1
62,1,1325,1174,3,151,0
104,1,1325,1500,8,175,1
65,2,1322,913,3,409,1
23,2,1224,1332,3,108,0
50,1,1353,1068,5,285,0
58,1,1131,1347,4,216,1
64,1,1197,1340,2,143,1
56,1,1163,1340,5,177,1
18,1,1362,976,6,386,0
43,2,1348,1381,3,33,0
24,1,1375,1334,6,41,0
125,2,911,1356,2,445,0
104,1,1030,1352,10,322,1
29,2,1352,1408,4,56,0
48,1,2035,1352,4,683,0
65,2,1787,1417,7,370,1
20,1,1810,1495,6,315,0
38,1,1783,1797,2,14,1
26,2,1723,1814,11,91,0
70,1,1645,1806,7,161,1
35,2,1800,1590,5,210,1
23,2,1798,1250,10,548,1
76,1,1602,1791,3,189,1
68,1,1415,1788,3,373,1
4,2,1758,1804,4,46,0
30,1,1815,1889,2,74,1
59,2,1800,1831,4,31,0
77,2,1820,1814,3,6,1
76,1,1830,1809,4,21,0
34,2,1914,1842,8,72,1
53,1,1856,1903,8,47,1
178,0,2153,2474,5,321,0
91,0,2474,2477,7,3,0
57,2,2469,2216,11,253,1
42,1,2220,2464,8,244,1
48,1,1973,2462,8,489,1
33,0,2465,2384,3,81,0
71,2,2460,2240,3,220,1
26,1,2104,2456,6,352,1
32,1,2301,2449,6,148,1
63,2,2447,2005,5,442,1
86,1,2306,2438,8,132,1
99,2,2432,2213,8,219,1
36,1,2255,2425,3,170,1
153,0,2428,2360,15,68,0
112,1,2208,2421,4,213,1
39,2,2418,2067,7,351,1
28,1,2083,2415,2,332,1
65,2,2409,2182,6,227,1
21,1,2281,2400,3,119,1
98,1,2015,2397,9,382,1
31,1,1426,1371,5,55,0
68,1,1437,1476,6,39,1
42,2,1719,1679,6,40,1
42,1,1689,1670,8,19,0
59,2,1672,1701,3,29,0
80,1,1695,1923,11,228,1
31,1,1706,1698,4,8,0
107,2,1687,1717,7,30,0
18,1,1728,1723,8,5,0
72,1,1648,1719,4,71,1
45,2,1719,1765,7,46,0
66,1,1648,1710,4,62,1
93,2,1696,1722,3,26,0
90,1,1732,1768,13,36,1
23,2,1833,1740,6,93,1
118,1,1433,1737,3,304,1
103,0,1729,2008,7,279,0
23,2,1722,1605,8,117,1
91,2,1713,1659,6,54,1
56,1,1605,1698,1,93,1
71,2,1690,1613,3,77,1
48,1,1622,1681,1,59,1
80,1,1702,1681,6,21,0
33,2,1568,1696,8,128,0
84,1,1707,1699,3,8,0
51,2,1453,1724,6,271,0
47,1,1735,1733,5,2,0
74,1,1744,1801,9,57,1
77,1,1854,1730,7,124,0
54,1,1705,1719,6,14,1
75,2,1709,1716,5,7,0
89,2,1694,1825,5,131,0
62,1,1651,1684,3,33,1
49,2,1706,1695,2,11,1
67,2,1683,1717,5,34,0
73,2,1707,1693,2,14,1
43,2,1758,1702,4,56,1
70,1,1713,1709,11,4,0
28,1,1724,1734,7,10,1
16,1,1730,1882,4,152,1
47,2,2334,1800,2,534,1
52,1,1680,1789,2,109,1
43,2,1774,1768,2,6,1
78,1,1711,1760,2,49,1
75,2,1760,1542,4,218,1
105,2,1713,1609,2,104,1
103,2,1710,1618,1,92,1
35,1,1374,1613,6,239,1
45,2,1603,1539,6,64,1
92,0,1564,1603,7,39,0
108,1,1821,1842,11,21,1
154,1,1512,1821,6,309,1
21,2,1821,1832,5,11,0
48,1,1832,1821,7,11,0
89,0,1821,1832,5,11,0
31,2,1832,1821,7,11,1
66,1,1500,1821,5,321,1
80,2,1821,1820,5,1,1
62,2,1500,1821,11,321,0
120,1,1877,1821,11,56,0
38,2,1902,1830,8,72,1
61,2,1830,1311,8,519,1
28,1,1824,1830,3,6,1
99,2,1548,1842,5,294,0
49,1,1858,1730,3,128,0
44,1,1891,1845,6,46,0
55,2,1876,1856,4,20,1
92,1,1867,1883,8,16,1
27,2,1864,1449,4,415,1
98,1,1922,1851,5,71,0
24,1,1861,1899,4,38,1
4,1,1527,1861,1,334,1
16,1,1878,1698,6,180,0
85,2,1878,1906,14,28,0
70,1,1660,1873,4,213,1
36,1,1707,1873,4,166,1
124,0,1806,1875,11,69,0
61,2,1864,1842,5,22,1
66,1,1853,1853,6,0,0
20,1,1882,1840,6,42,0
49,2,1832,1696,4,136,1
42,1,1704,1824,2,120,1
32,1,1841,1688,4,153,0
70,1,1695,1834,2,139,1
52,1,1851,1679,4,172,0
18,1,1527,1882,3,355,1
4,1,1527,1882,1,355,1
54,1,1500,1901,5,401,1
4,1,1533,1897,1,364,1
5,2,1894,1539,1,355,1
26,1,1545,1890,3,345,1
4,1,1552,1887,1,335,1
115,0,1923,1887,3,36,0
100,1,1961,2215,19,254,1
113,2,2215,1961,18,254,1
125,2,2215,2191,8,24,1
51,2,2215,2147,4,68,1
